name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
<pad>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A01A,0.36052796,0.024830166,1.0649283,-0.92955995,0.5898693,0.92529863,-0.8139212,0.522478,0.29978,-0.47317484,0.89754504,-0.42680988,-0.83755654,0.13861914,1.2627847,-0.26813373,-1.366258,-0.3169677,-0.88713855,0.84247625,-0.031708308,0.5696304,-2.7454581,1.1076205,1.166011,0.23915589,-0.8098712,0.54001564,0.7642887,0.5709319,-0.7963998,-1.0026926,0.48993632,0.8424296,-0.23924662,0.469374,-0.50022227,0.4221558,0.109373555,0.026560908,-0.87468576,1.0985354,2.0874898,0.090708725,0.40145943,-0.73335916,0.48353332,0.013403333,-1.3790109,0.58540857,-0.0933831,-0.7792225,-0.74006337,1.4633273,-0.7319555,0.061176736,-0.02512473,0.31943184,-1.0357356,-0.9396217,-1.4580419,-1.2058964,-0.9104179,-0.05691892,-0.11862154,1.1180593,-0.91116875,0.92412335,0.9664347,-0.95629036,-1.6048098,0.75695765,-1.12609,1.0506839,-1.1530356,0.5631798,-0.3262376,0.123538256,0.2083057,0.07673824,1.4708353,0.574931,0.22235224,1.0716246,-0.7854732,-1.1345664,-0.4671328,1.8448766,-0.56530344,-0.55550814,1.1614299,-0.7770404,0.78873265,-2.5701952,0.2234263,1.4876217,0.046074226,1.5330861,-0.8729482,0.44419962,0.724929,0.66184664,0.41217718,-0.65578496,1.8014289,0.5015994,-0.7358808,0.36726385,-1.0862453,0.15219185,-1.4013016,0.8121575,-2.1583912,0.18473701,0.4964122,0.47074747,0.1351073,0.76190925,-1.8591428,-2.3410437,-0.3275522,-0.3453196,0.9329958,-0.4175518,-0.76661116,-0.9072216,-0.4546517,1.7733271
A02A,0.30993325,0.2871831,-0.36161715,-0.5006724,0.13378492,-0.11717332,1.2146128,-1.5740603,-0.09108194,0.9396126,-1.5553193,0.30028418,-0.35645276,-0.5009104,-0.94643116,-0.35935524,1.8988136,1.4230921,-0.29684445,-0.83247083,0.58635145,-0.5079288,0.4708083,0.50392747,-0.88411814,-1.4123672,-0.67989266,0.0073076123,-1.4279995,0.5817314,0.28529236,0.5178523,-1.5374001,-1.4893003,-0.49159443,1.2807169,0.21527119,0.19901024,-1.0202292,1.0693306,-1.2188218,0.49164504,-0.49861026,1.3598145,-1.3705425,-1.1705602,-0.23754326,-1.5749425,0.41396916,-0.19788712,0.90987957,-0.2934159,0.4362445,0.048861902,0.62197983,0.34970805,-0.723011,0.45102403,0.19753991,-0.6436265,0.011067737,0.08208658,0.13628483,1.7522609,-0.56068075,-1.428889,-0.019300526,0.2512157,0.85242313,0.8351913,0.91348106,-1.894385,2.2843091,-0.7852982,-0.28098744,-0.17001817,-0.7273646,0.059932422,-0.6498354,-0.28388256,0.8306039,0.35355455,-0.783646,0.8134262,-0.64308226,-0.52696997,0.84550214,-1.1614797,-1.3435887,-0.66843617,-1.8107989,0.5929581,1.6003737,0.9442321,1.1299541,0.30091324,-0.21770613,-0.3191213,-0.34766224,0.7935877,-1.092731,0.35878983,1.3471203,1.4765865,0.6239862,-0.23301627,-0.5214152,-0.092261046,-0.12571025,-0.55535424,-1.2369213,1.4395729,1.4830208,0.6985809,1.7406133,0.7912692,0.5010485,-0.46345642,0.410902,1.2873864,0.62393886,0.5192857,-0.05764884,1.2306312,-0.4987857,-0.70419216,-0.8509572,-0.7040464
A02B,0.81818897,-0.972358,0.24676642,0.32608053,-0.14632058,0.59908205,-0.48034066,0.54396117,-0.8105531,0.44938588,-0.5741856,-1.0001472,1.5486172,-0.30803597,-0.7832043,-0.92357504,0.9292793,0.647063,0.6995268,-0.06753126,1.461782,-0.574653,0.6861879,-1.0522485,1.5403883,-1.373977,-0.09775737,0.2037797,1.7416134,-1.7943563,-0.13207927,0.55769813,-0.112434834,-0.062246304,-1.1854646,0.44371825,-0.017943382,-1.0451316,-0.18582925,1.3032799,1.7940601,0.018678315,0.38854125,1.782485,1.1668332,-0.10943934,0.7811132,-1.8346401,1.1192888,-1.0566484,0.81207573,-0.1919658,0.11776671,1.7187486,-1.1001278,-1.739575,0.2317644,0.3183223,1.3544163,1.5811366,0.3374166,0.40200815,1.5328313,-0.3063567,-1.0403038,1.0624379,1.1006324,-0.38075495,1.4461646,-1.1018226,0.20556167,0.65387565,1.113674,-0.5484791,0.07085282,1.0051092,-0.30453008,1.0667578,2.4928205,0.43680522,-0.57598096,1.3600444,-0.60656995,0.03332788,-1.4606099,1.5906072,-1.6719131,-0.051947456,-0.4677266,0.13188222,-1.4661156,-1.0601118,-1.5385237,-0.13954048,0.7367652,-2.6168118,-0.1131855,-1.5774508,-1.573492,0.0026366448,-1.9598386,0.024020394,0.18332058,1.3094825,0.15809499,1.569204,0.6287947,-1.7673037,-0.57408327,-0.32050768,0.0048094634,0.17393334,1.5857208,-0.6239456,-1.0110885,-1.3606892,0.4254112,0.10423945,0.3785113,-0.6220985,-0.21977893,-1.4048433,-0.06687386,-0.0060498193,-0.94145375,-1.193133,-0.024196707,-0.500235
A03A,0.3654807,-0.4371514,-1.4688106,-0.2969985,-0.8012377,-0.4841977,0.71876305,0.0941673,-0.12250466,0.54797786,-0.12119525,-0.8194569,-0.28315604,-0.11747843,0.5129114,-1.2633836,-0.705838,-1.1679409,0.10834925,0.5198363,0.8901922,-0.45685768,1.2392347,0.9042883,-0.011974219,0.73913246,1.2824496,-0.24928874,2.07634,0.34848163,0.106269576,1.0743171,0.022794753,-0.69486225,-0.22703595,-0.20913321,1.4388378,-0.30435857,0.6065782,-0.67518455,-0.20860574,0.03527477,-2.5841613,-1.9427922,-0.2628049,-0.33764023,1.3928468,-0.38117537,0.6038242,0.17992048,0.56651974,0.1895007,-1.192702,-0.59296143,-0.21265768,0.5175441,1.1249776,-0.8349739,0.19677748,-0.2544945,-1.3854998,1.2301998,-1.9552919,0.622326,-0.6684396,1.8840352,0.07057384,-0.17078519,-0.16408727,1.3982121,0.357682,0.4173234,1.5957075,-0.8767442,-0.9163307,1.1220695,1.3065317,0.5021254,-0.54020286,-1.2470436,0.43054354,-0.6746034,0.56599265,-0.203249,-0.8980236,0.83595335,-1.4802378,-0.34440476,0.38240558,-2.1870718,0.4311045,-1.1248783,1.1323931,0.44238713,-0.5175712,-0.8727373,0.3352128,0.37324104,-1.3893648,0.8475044,0.09862773,2.0429418,-0.20588785,0.007616512,-0.01841804,-1.6251311,0.8191862,0.3236365,-0.039734207,-0.18844724,-2.1519897,0.5792325,-0.9419462,0.4063166,-0.18882845,-0.2258724,-0.26314795,1.7908654,1.9792358,0.022681942,-1.4023497,1.4799898,0.98674697,0.40963048,1.2014403,-0.27084413,0.88500506,0.41038847
A03B,0.24748288,-0.9933566,0.2643987,1.9213735,-1.1910154,-0.23548855,0.57954055,-0.2622447,0.40835553,-0.17022395,2.284762,-0.16989607,0.46318266,0.3100895,0.1854225,-0.8390501,-0.3027298,-1.0149392,-0.32893163,-0.333449,-0.42188942,-1.1495577,0.74236655,-2.3180594,0.74889123,-1.3127992,0.48475492,-1.3347366,-1.2147771,-0.6867475,0.9542693,0.023090204,0.21137027,0.36320612,-0.5194891,-0.051622998,0.31297097,-0.43529406,-0.03120495,-0.8132502,1.696395,1.0019732,-0.661981,-0.64001787,-0.9888738,0.45332333,0.42421496,-0.18025434,-0.48184517,1.858902,-0.59566927,-0.9272617,-0.45172703,-0.069604374,-0.49119455,-1.4608533,-0.022478275,0.048858233,-0.98456657,-0.9701425,-0.06562134,0.057425614,-1.483254,-1.1292944,-1.8981179,-0.16301523,-0.18018502,-1.8914324,-0.93129086,0.26406708,0.47660235,-0.976231,-0.4352712,-0.13317834,-1.2071869,-0.039162144,-1.2832153,0.6844563,0.71345425,-0.64124626,-0.7693613,1.1245108,0.5814195,-0.2127979,0.12578274,-0.567172,1.3331556,-0.47228935,-0.9722495,0.09999005,0.90162265,-0.5910722,-0.91070956,-0.9977708,0.2581681,-0.26387745,1.7120508,-1.549834,-0.2275765,-0.94268024,0.4643028,1.0367088,-0.26074857,-0.68371654,-0.18613161,0.7611818,-2.1903095,-0.77424914,-1.3774387,0.43471813,-1.0334193,-0.02135586,0.623729,0.25886822,0.36519438,1.0363771,-0.023482429,0.77605456,-1.7723624,0.94809604,-1.3004204,-1.4359515,-0.46806216,-0.8665391,0.1530513,0.022717495,-0.28656486,-0.48931903
A03C,-0.30020267,-0.3017701,0.92985845,0.5868833,-0.3345781,-0.0030744541,-0.06076885,-0.23799163,-0.23961028,1.0378469,-0.12977636,-0.9531265,-0.68137443,-1.4811991,0.30744076,0.35818592,1.7142105,0.115079194,-0.36246914,0.8233234,-0.74998903,-0.8481585,-0.6693834,1.2631239,0.56962806,-2.1944382,-0.38443184,1.7495984,0.39614487,-0.23882891,0.5614102,1.5309107,1.3478003,-0.51081294,-0.15671417,-0.3446393,0.39309335,-0.6070394,-0.36068115,1.609915,2.2917316,0.7150496,1.2525101,1.9877162,-0.20730345,-0.24310406,0.77060944,-0.57890105,-0.67796266,0.542809,1.8013483,0.18049744,-0.27897462,1.8603436,-1.0433266,-0.9364848,-1.1880356,-1.2800568,0.08670509,0.093635835,0.34086457,1.7677448,-1.1043897,1.1734898,-1.0160614,-1.8615562,-1.0807484,0.06374456,-0.66703683,-1.1477151,0.7239254,-1.3455074,1.1991303,-0.21345942,0.98656005,0.16484515,-1.012203,-0.018417275,-0.608023,0.12978163,-1.0996124,-0.56824327,-0.8960108,1.12083,-0.59477276,0.83589077,-1.6128162,0.9945759,-0.9156196,0.55106056,-0.17568395,-0.2641712,0.20966043,0.56024826,-0.2261247,1.6920065,-0.72760504,-0.74935246,0.5052262,-1.0378916,-0.6800514,-1.258055,-1.1046187,0.60072666,-0.8619338,0.12202849,-1.2541064,0.140092,0.8073989,-0.11533931,-0.36497173,0.016318753,-0.1878035,0.13090666,0.43499544,-0.22896194,1.3196818,-0.4325394,-0.5252615,-1.0194517,-1.416596,0.5091121,1.3998919,0.53707016,-1.9329098,0.12696607,0.69791734,0.20864837
A03F,-0.04517856,-0.037293382,-0.23905344,-0.638198,0.8285589,-0.55551356,-0.40065256,1.1791524,1.4460357,0.035067916,0.9401089,-0.6120348,1.7967254,-0.5301716,1.1976211,0.3233713,-0.8409358,0.7505076,-0.5606372,0.5836033,1.3110136,-1.0984126,1.3097814,-0.34666827,-1.8672947,0.18815556,0.90595055,-1.1001791,-1.340279,0.5178849,0.8726057,0.40715095,0.5316055,1.1022286,0.4629992,1.0073845,-0.7341335,0.78954816,0.07634567,1.1034242,-0.5424314,-1.285373,-0.093695305,-2.1441033,0.8579836,-1.7825991,-0.6578096,-1.201464,0.63482946,-0.50473094,-0.26127082,0.23540542,0.09522958,0.42982885,0.85254854,-0.5331277,0.27530578,0.93944985,-0.5458841,-0.034204982,-0.03366301,-0.4766597,0.97454286,-0.52007633,-1.5508412,1.11972,-0.35772824,-0.32950467,0.55244035,0.27439618,-0.15775207,-0.3434836,0.59901255,0.36043742,0.22521308,-1.198866,0.7370476,-0.41162527,0.51061606,0.65073127,1.410502,-0.21225926,-1.1239644,1.4870012,-0.36648914,0.5980297,-0.7420026,0.0121271005,0.501925,0.90335953,0.2526183,-0.9089108,0.056580946,-0.0747315,-1.3150526,-0.6531978,-0.8758361,0.77670985,0.03847722,-0.8288673,0.22645785,0.8279741,0.9303511,-0.22841229,-0.48826993,-0.5682125,-0.4624607,0.54178727,0.5078947,-1.4647989,-0.31048635,0.45726657,0.7178973,-0.42877948,-1.7459629,0.51151085,-0.96558005,-0.20629929,0.5899343,0.82679754,1.7037956,-0.4425759,-0.06693384,-2.1966844,-0.7740526,-0.08656084,1.4892511,-1.4537644
A04A,-0.6811186,0.44371164,-0.06446322,1.5549533,-0.0016801775,-0.72334284,-0.9681707,0.11462153,0.32780236,0.84016603,1.1707113,0.008351522,-0.71592,0.69107014,0.34418768,-1.4724263,-0.6560917,-1.3251386,-0.03984661,-0.93069834,0.26350787,0.908175,2.2632575,1.2835929,1.0924623,1.5383264,-0.8098775,0.18590136,1.2935338,0.86848503,-0.76744884,0.9984785,-0.4662186,0.16092809,1.3919843,0.42979643,0.7084038,-1.307965,0.40334424,1.3882662,-1.2844595,0.7204321,-1.0716673,0.1169445,-1.7363943,1.9142787,-0.34906948,-0.8088846,0.9165592,0.73307794,-0.6296636,-0.9744228,0.70772713,-0.1175697,-1.426459,-0.29907963,-1.1422708,0.048821945,0.029247774,1.0296038,-0.2323436,-1.5399423,0.36303946,0.15865183,0.013489606,0.37042195,1.2059988,-0.31315473,0.19493991,-0.11674517,0.7244651,0.63253134,0.9451541,0.6268204,1.5341479,-0.8241225,-0.061754983,1.3372685,0.7247944,-1.7346479,-0.6254792,1.1809872,-0.881182,-1.2332363,0.20723075,-0.27350524,0.17720778,0.3872948,-2.1423917,0.939554,1.2934754,0.4588015,-1.2943398,0.12581801,-0.540273,0.9639789,-0.3997633,1.5577044,0.48927018,-1.33026,1.589045,-0.76460856,-0.9601868,0.88818777,-0.51677334,0.28365853,0.06574958,0.06263254,-0.21690209,0.265281,0.9555869,-1.8789167,-0.85751903,-0.35832,-0.5188664,0.26438606,0.27717653,-0.12450952,0.83156383,-1.2952472,-0.66102237,0.9310248,0.2718102,0.4029457,-1.1083539,-0.34308532,-0.17508559,-0.87943023
A05A,0.9296356,-0.6222997,-0.04132799,0.6179776,-1.8670871,-0.49402183,1.277528,-0.008580033,0.054336354,-0.25743693,1.1310796,-0.65514624,1.5207456,-0.53396004,0.35610405,0.7688157,0.57480425,-1.3174466,-0.52011406,1.5199735,-0.7353936,0.7162478,0.2312706,-1.4499823,1.6936225,-1.0771638,-0.41089585,0.47364593,0.40912113,-0.10764471,1.7458882,0.99347705,1.3120786,-2.4743035,-1.1861496,-0.86786044,1.3910189,-0.5807769,0.30940267,-0.37488365,-0.61085737,1.438803,-0.037815247,-1.2953058,-0.48428795,-0.2736556,0.5563383,0.4079594,1.5190862,-0.14679585,-0.17819242,0.9927332,-0.5691877,1.0249457,-0.12090545,1.091062,1.4996128,0.14066976,0.19932218,1.6280478,0.2260666,-0.31976536,-0.16836174,-2.642786,-1.1608776,0.16835539,-0.85909855,0.059936672,0.8075987,0.20364788,-0.5693807,-1.0822936,0.90710366,0.7293861,1.1828872,-0.941351,-0.015470996,-0.17898537,-0.91417044,0.8730952,-0.3531369,0.34227037,0.31292114,0.7307337,1.2102855,-0.82019866,-0.40034524,1.2639569,-0.686081,0.78320825,-0.21650049,-1.3860211,-1.1266729,0.10314174,0.3656359,1.0989203,0.99321777,-1.5570887,-2.121416,-0.38823783,1.3325598,-0.02959733,-0.4790211,0.30388078,-0.6505926,-0.46077964,0.52788717,-0.387595,1.1716737,0.36552638,-0.27332368,-0.0102856895,1.049989,0.93772995,0.7737871,-0.5533778,-0.9612784,1.7448412,1.3503734,1.5442754,-0.056744847,-0.41051042,1.4540939,-0.5128723,-1.0026193,0.38551807,0.33488542,-0.5255052
